TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2013,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.00076,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.49048,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.07261,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,82.37794,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.45210,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.18906,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,76.99436,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.29096,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.14509,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.07555,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,76.55377,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
