"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GB","AllDepths",">26°C",0,"GLORYS",26,"Proportion"
1993,"GB","AllDepths",">27.5°C",0,"GLORYS",27.5,"Proportion"
1993,"GB","AllDepths",">27°C",0,"GLORYS",27,"Proportion"
1993,"GB","AllDepths",">28.5°C",0,"GLORYS",28.5,"Proportion"
1993,"GB","AllDepths",">28°C",0,"GLORYS",28,"Proportion"
1993,"GB","AllDepths",">29.5°C",0,"GLORYS",29.5,"Proportion"
1993,"GB","AllDepths",">29°C",0,"GLORYS",29,"Proportion"
1993,"GB","AllDepths",">2°C",0.99958733359628,"GLORYS",2,"Proportion"
1993,"GB","AllDepths",">3.5°C",0.982033159909111,"GLORYS",3.5,"Proportion"
1993,"GB","AllDepths",">30°C",0,"GLORYS",30,"Proportion"
1993,"GB","AllDepths",">3°C",0.996387593298077,"GLORYS",3,"Proportion"
1993,"GB","AllDepths",">4.5°C",0.851303186443984,"GLORYS",4.5,"Proportion"
1993,"GB","AllDepths",">4°C",0.927201731714822,"GLORYS",4,"Proportion"
1993,"GB","AllDepths",">5.5°C",0.72782626142989,"GLORYS",5.5,"Proportion"
1993,"GB","AllDepths",">5°C",0.779697026095757,"GLORYS",5,"Proportion"
1993,"GB","AllDepths",">6.5°C",0.616283545268694,"GLORYS",6.5,"Proportion"
1993,"GB","AllDepths",">6°C",0.674349510842366,"GLORYS",6,"Proportion"
1993,"GB","AllDepths",">7.5°C",0.521244614868347,"GLORYS",7.5,"Proportion"
1993,"GB","AllDepths",">7°C",0.565770732933004,"GLORYS",7,"Proportion"
1993,"GB","AllDepths",">8.5°C",0.451465740344938,"GLORYS",8.5,"Proportion"
1993,"GB","AllDepths",">8°C",0.48416564999553,"GLORYS",8,"Proportion"
1993,"GB","AllDepths",">9.5°C",0.390142203221309,"GLORYS",9.5,"Proportion"
1993,"GB","AllDepths",">9°C",0.421294572008584,"GLORYS",9,"Proportion"
1993,"GOM","0-25m",">0.5°C",0.999999943472611,"GLORYS",0.5,"Proportion"
1993,"GOM","0-25m",">1.5°C",0.99920377555545,"GLORYS",1.5,"Proportion"
1993,"GOM","0-25m",">10.5°C",0.136551257967471,"GLORYS",10.5,"Proportion"
1993,"GOM","0-25m",">10°C",0.167768547604036,"GLORYS",10,"Proportion"
1993,"GOM","0-25m",">11.5°C",0.0780787934945683,"GLORYS",11.5,"Proportion"
1993,"GOM","0-25m",">11°C",0.110154663744846,"GLORYS",11,"Proportion"
1993,"GOM","0-25m",">12.5°C",0.0446869151576843,"GLORYS",12.5,"Proportion"
1993,"GOM","0-25m",">12°C",0.059593689042163,"GLORYS",12,"Proportion"
1993,"GOM","0-25m",">13.5°C",0.0291189342998363,"GLORYS",13.5,"Proportion"
1993,"GOM","0-25m",">13°C",0.0359237283676744,"GLORYS",13,"Proportion"
1993,"GOM","0-25m",">14.5°C",0.0189304882807634,"GLORYS",14.5,"Proportion"
1993,"GOM","0-25m",">14°C",0.0245839533847421,"GLORYS",14,"Proportion"
1993,"GOM","0-25m",">15.5°C",0.0084072718013223,"GLORYS",15.5,"Proportion"
1993,"GOM","0-25m",">15°C",0.0122924218975384,"GLORYS",15,"Proportion"
1993,"GOM","0-25m",">16.5°C",0.00582181690802989,"GLORYS",16.5,"Proportion"
1993,"GOM","0-25m",">16°C",0.00711520141210233,"GLORYS",16,"Proportion"
1993,"GOM","0-25m",">17.5°C",0.00210161348318715,"GLORYS",17.5,"Proportion"
1993,"GOM","0-25m",">17°C",0.00404264305976416,"GLORYS",17,"Proportion"
1993,"GOM","0-25m",">18.5°C",0.00032286708422872,"GLORYS",18.5,"Proportion"
1993,"GOM","0-25m",">18°C",0.00097008997053639,"GLORYS",18,"Proportion"
1993,"GOM","0-25m",">19.5°C",0,"GLORYS",19.5,"Proportion"
1993,"GOM","0-25m",">19°C",0,"GLORYS",19,"Proportion"
1993,"GOM","0-25m",">1°C",0.999999943472611,"GLORYS",1,"Proportion"
1993,"GOM","0-25m",">2.5°C",0.967848716842536,"GLORYS",2.5,"Proportion"
1993,"GOM","0-25m",">20.5°C",0,"GLORYS",20.5,"Proportion"
1993,"GOM","0-25m",">20°C",0,"GLORYS",20,"Proportion"
1993,"GOM","0-25m",">21.5°C",0,"GLORYS",21.5,"Proportion"
1993,"GOM","0-25m",">21°C",0,"GLORYS",21,"Proportion"
1993,"GOM","0-25m",">22.5°C",0,"GLORYS",22.5,"Proportion"
1993,"GOM","0-25m",">22°C",0,"GLORYS",22,"Proportion"
1993,"GOM","0-25m",">23.5°C",0,"GLORYS",23.5,"Proportion"
1993,"GOM","0-25m",">23°C",0,"GLORYS",23,"Proportion"
1993,"GOM","0-25m",">24.5°C",0,"GLORYS",24.5,"Proportion"
1993,"GOM","0-25m",">24°C",0,"GLORYS",24,"Proportion"
1993,"GOM","0-25m",">25.5°C",0,"GLORYS",25.5,"Proportion"
1993,"GOM","0-25m",">25°C",0,"GLORYS",25,"Proportion"
1993,"GOM","0-25m",">26.5°C",0,"GLORYS",26.5,"Proportion"
1993,"GOM","0-25m",">26°C",0,"GLORYS",26,"Proportion"
1993,"GOM","0-25m",">27.5°C",0,"GLORYS",27.5,"Proportion"
1993,"GOM","0-25m",">27°C",0,"GLORYS",27,"Proportion"
1993,"GOM","0-25m",">28.5°C",0,"GLORYS",28.5,"Proportion"
1993,"GOM","0-25m",">28°C",0,"GLORYS",28,"Proportion"
1993,"GOM","0-25m",">29.5°C",0,"GLORYS",29.5,"Proportion"
1993,"GOM","0-25m",">29°C",0,"GLORYS",29,"Proportion"
1993,"GOM","0-25m",">2°C",0.994098252768071,"GLORYS",2,"Proportion"
1993,"GOM","0-25m",">3.5°C",0.834161724521822,"GLORYS",3.5,"Proportion"
1993,"GOM","0-25m",">30°C",0,"GLORYS",30,"Proportion"
1993,"GOM","0-25m",">3°C",0.90747688881087,"GLORYS",3,"Proportion"
1993,"GOM","0-25m",">4.5°C",0.716997788560085,"GLORYS",4.5,"Proportion"
1993,"GOM","0-25m",">4°C",0.773530235137982,"GLORYS",4,"Proportion"
1993,"GOM","0-25m",">5.5°C",0.615737973479809,"GLORYS",5.5,"Proportion"
1993,"GOM","0-25m",">5°C",0.662835810477532,"GLORYS",5,"Proportion"
1993,"GOM","0-25m",">6.5°C",0.520484784989749,"GLORYS",6.5,"Proportion"
1993,"GOM","0-25m",">6°C",0.56415542189588,"GLORYS",6,"Proportion"
1993,"GOM","0-25m",">7.5°C",0.413126414702618,"GLORYS",7.5,"Proportion"
