COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
BANDED DRUM,651,169269,109,LARIMUS FASCIATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BANDED RUDDERFISH,204,168693,526,SERIOLA ZONATA,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
BANDTAIL PUFFER,845,173300,NA,SPHOEROIDES SPENGLERI,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BANDTAIL SEAROBIN,765,166986,NA,PRIONOTUS OPHRYAS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BANDTOOTH CONGER,389,161344,NA,ARIOSOMA BALEARICUM,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BANK BUTTERFLYFISH,660,169557,NA,CHAETODON AYA,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BANK CUSK-EEL,459,164842,NA,OPHIDION HOLBROOKI,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
BANK SEA BASS,526,167690,328,CENTROPRISTIS OCYURUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BAR JACK,572,168614,NA,CARANX RUBER,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BARBFISH,754,166816,NA,SCORPAENA BRASILIENSIS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BARNDOOR SKATE,22,564139,368,DIPTURUS LAEVIS,NEFMC,Benthivore,Omnivore Elasmobranchs,Barndoor,Benthivore,NA,NA,NA,Elasmobranchs
BARRACUDA,NA,170424,18,SPHYRAENIDAE,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BARRACUDAS,620,170425,18,SPHYRAENA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BARRACUDINAS,896,162463,NA,PARALEPIDIDAE,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
BARRELFISH,207,172512,27,HYPEROGLYPHE PERCIFORMIS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
BASKING SHARK,6,159907,496,CETORHINUS MAXIMUS,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
BASSLET UNCL,618,553216,NA,GRAMMATIDAE,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BATFISH UNCL,452,164573,NA,OGCOCEPHALIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
BATHYAL SWIMMING CRAB,517,98694,NA,BATHYNECTES LONGISPINA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
BAY ANCHOVY,43,161839,6,ANCHOA MITCHILLI,NA,Other,NA,SmPelagics,Other,NA,NA,NA,Forage Fish
BAY SCALLOP,402,79737,799,ARGOPECTEN IRRADIANS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
BAY WHIFF,782,172725,NA,CITHARICHTHYS SPILOPTERUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
BEARDED BROTULA,456,164818,114,BROTULA BARBATA,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
BEARDFISH,263,166126,22,POLYMIXIA LOWEI,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,Other
BEARDLESS CODLING,70,550669,NA,GADELLA IMBERBIS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
BEAUGREGORY,672,170180,NA,POMACENTRUS LEUCOSTICTUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BELTED SANDFISH,553,167858,NA,SERRANUS SUBLIGARIUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BERMUDA CHUB,658,169506,NA,KYPHOSUS SECTATRIX,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BIG ROUGHY,NA,615855,25,GEPHYROBERYX DARWINI,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BIG ROUGHY,268,166137,NA,GEPHYROBERYX DARWINI,NA,Other,Benthivore Others,SouthernDemersals,Other,NA,NA,NA,NA
BIGEYE,134,168178,526,PRIACANTHUS ARENATUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
BIGEYE CIGARFISH,876,172546,NA,CUBICEPS PAUCIRADIATUS,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
BIGEYE SCAD,209,168677,76,SELAR CRUMENOPHTHALMUS,NA,Other,NA,SmPelagics,Other,NA,NA,NA,Forage Fish
BIGEYE SEAROBIN,767,166996,NA,PRIONOTUS LONGISPINOSUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BIGEYE SOLDIERFISH,483,166240,NA,OSTICHTHYS TRACHYPOMA,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BIGEYE THRESHER SHARK,926,159921,354,ALOPIAS SUPERCILIOSUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
BIGEYE TUNA,706,172428,469,THUNNUS OBESUS,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
BIGHEAD SEAROBIN,770,166977,NA,PRIONOTUS TRIBULUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BIGNOSE SHARK,929,160307,483,CARCHARHINUS ALTIMUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
BIGSCALE POMFRET,130,170311,NA,TARACTICHTHYS LONGIPINNIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BLACK DOGFISH,7,160703,339,CENTROSCYLLIUM FABRICII,NA,Other,Piscivore Elasmobranchs,Sharks,Other,NA,NA,NA,Sharks/Rays
BLACK DRUM,147,169288,106,POGONIAS CROMIS,NA,Other,Benthivore Perciformes,SouthernDemersals,Other,NA,NA,NA,Mid-Atlantic groundfish
BLACK GEMFISH,227,172370,NA,NESIARCHUS NASUTUS,NA,Other,Benthivore Perciformes,Mesopelagics,Other,NA,NA,NA,NA
BLACK GROUPER,540,167760,141,MYCTEROPERCA BONACI,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLACK MARLIN,940,172492,NA,MAKAIRA INDICA,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
BLACK SEA BASS,141,167687,335,CENTROPRISTIS STRIATA,MAFMC,Benthivore,Omnivore Others,BlackSeaBass,Benthivore,S,10,Crab Eaters,Mid-Atlantic groundfish
BLACK SEA BASS,141,167687,335,CENTROPRISTIS STRIATA,MAFMC,Benthivore,Omnivore Others,BlackSeaBass,Benthivore,M,26,Crab Eaters,Mid-Atlantic groundfish
BLACKBAR SOLDIERFISH,482,166211,NA,MYRIPRISTIS JACOBUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BLACKBELLY ROSEFISH,156,166787,242,HELICOLENUS DACTYLOPTERUS,NA,Macrozoo-piscivore,Benthivore Scorpaeniformes,OtherDemersals,Planktivore,NA,NA,NA,Other
BLACKCHEEK TONGUEFISH,825,173062,NA,SYMPHURUS PLAGIUSA,NA,Other,Southern Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,NA
BLACKEAR BASS,549,167851,NA,SERRANUS ATROBRANCHUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLACKEAR WRASSE,679,170509,NA,HALICHOERES POEYI,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLACKEDGE MORAY,387,161189,NA,GYMNOTHORAX NIGROMARGINATUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BLACKFIN GOOSEFISH,897,164500,13,LOPHIUS GASTROPHYSUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
BLACKFIN SNAPPER,588,168852,336,LUTJANUS BUCCANELLA,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
BLACKFIN TUNA,705,172427,464,THUNNUS ATLANTICUS,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
BLACKLINE TILEFISH,562,168541,NA,CAULOLATILUS CYANOPS,NA,Other,Southern Perciformes,Tilefish,Other,NA,NA,NA,NA
